id,text,choices,correctIndex,topic,explanation
1,What is the Spring Boot annotation to mark the main application class?,@SpringBootApplication|@EnableAutoConfiguration|@Configuration|@Component,0,SpringBoot,The correct answer is @SpringBootApplication because it directly matches the concept asked in this question.
2,Which dependency is typically used for building REST APIs in Spring Boot?,spring-boot-starter-web|spring-boot-starter-data-jpa|spring-boot-starter-security|spring-boot-starter-thymeleaf,0,SpringBoot,The correct answer is spring-boot-starter-web because it directly matches the concept asked in this question.
3,"In Spring, which annotation is used for constructor-based dependency injection?",@Autowired|@Inject|@Value|None of the above,0,SpringBoot,The correct answer is @Autowired because it directly matches the concept asked in this question.
4,Which file defines Spring profiles and properties for different environments?,application.properties|pom.xml|build.gradle|Dockerfile,0,SpringBoot,The correct answer is application.properties because it directly matches the concept asked in this question.
5,Which Spring module provides integration with relational databases using repositories?,Spring Data JPA|Spring MVC|Spring Security|Spring Batch,0,SpringBoot,The correct answer is Spring Data JPA because it directly matches the concept asked in this question.
6,"In Spring Data JPA, which annotation marks the primary key of an entity?",@Id|@Primary|@Key|@EntityId,0,SpringBoot,The correct answer is @Id because it directly matches the concept asked in this question.
7,What is the default port for a Spring Boot application?,8080|3000|8000|5000,0,SpringBoot,The correct answer is 8080 because it directly matches the concept asked in this question.
8,Which annotation maps an HTTP GET request to a controller method?,@GetMapping|@RequestMapping(method=POST)|@PostMapping|@DeleteMapping,0,SpringBoot,The correct answer is @GetMapping because it directly matches the concept asked in this question.
9,Which Spring Boot starter adds actuator endpoints for monitoring?,spring-boot-starter-actuator|spring-boot-starter-test|spring-boot-starter-web|spring-boot-starter-mail,0,SpringBoot,The correct answer is spring-boot-starter-actuator because it directly matches the concept asked in this question.
10,What does CORS stand for in web development?,Cross-Origin Resource Sharing|Cross-Origin Request Service|Client-Origin Resource Sharing|Cross-Object Resource Service,0,FullStack,The correct answer is Cross-Origin Resource Sharing because it directly matches the concept asked in this question.
11,"In Angular, which file defines a component's metadata?",component.ts|index.html|styles.css|main.ts,0,Angular,The correct answer is component.ts because it directly matches the concept asked in this question.
12,Which decorator defines an Angular component?,@Component|@NgModule|@Injectable|@Directive,0,Angular,The correct answer is @Component because it directly matches the concept asked in this question.
13,"In Angular templates, which binding is used for property binding?",[property]=| (event)=|{{ interpolation }}|*ngIf=,0,Angular,The correct answer is [property]= because it directly matches the concept asked in this question.
14,Which Angular feature is used for conditional rendering?,*ngIf|*ngFor|[hidden]|ngModel,0,Angular,The correct answer is *ngIf because it directly matches the concept asked in this question.
15,Which Angular CLI command generates a new component?,ng generate component my-comp|npm create component my-comp|ng new component my-comp|ng add component my-comp,0,Angular,The correct answer is ng generate component my-comp because it directly matches the concept asked in this question.
16,"In React, what hook is used to manage local state in a functional component?",useState|useEffect|useContext|useReducer,0,React,The correct answer is useState because it directly matches the concept asked in this question.
17,Which method did class components use for lifecycle after mounting?,componentDidMount|useEffect|useLayoutEffect|renderComplete,0,React,The correct answer is componentDidMount because it directly matches the concept asked in this question.
18,What does JSX stand for?,JavaScript XML|JavaScript eXtended|JSON Styled eXtension|JavaScript eXtensible XML,0,React,The correct answer is JavaScript XML because it directly matches the concept asked in this question.
19,"In React, which prop is used to pass data to child components?",props|state|context|key,0,React,The correct answer is props because it directly matches the concept asked in this question.
20,Which command creates a new React app using Create React App?,npx create-react-app my-app|npm init react-app my-app|yarn new react-app my-app|npm create-react-app my-app,0,React,The correct answer is npx create-react-app my-app because it directly matches the concept asked in this question.
21,Which HTTP status code indicates a successful GET request?,200|201|400|500,0,FullStack,The correct answer is 200 because it directly matches the concept asked in this question.
22,Which database is a relational DB?,PostgreSQL|MongoDB|Redis|Cassandra,0,FullStack,The correct answer is PostgreSQL because it directly matches the concept asked in this question.
23,Which header is used to send a JWT token for authentication?,Authorization|X-CSRF-Token|Content-Type|Accept,0,FullStack,The correct answer is Authorization because it directly matches the concept asked in this question.
24,Which Dockerfile instruction sets the base image?,FROM|RUN|CMD|ENTRYPOINT,0,FullStack,The correct answer is FROM because it directly matches the concept asked in this question.
25,Which tool is commonly used for continuous integration?,Jenkins|Webpack|ESLint|Prettier,0,FullStack,The correct answer is Jenkins because it directly matches the concept asked in this question.
26,"In Angular, which service pattern provides HTTP calls?",HttpClient|HttpService|AjaxService|FetchService,0,Angular,The correct answer is HttpClient because it directly matches the concept asked in this question.
27,Which React hook runs after every render by default?,useEffect|useMemo|useCallback|useRef,0,React,The correct answer is useEffect because it directly matches the concept asked in this question.
28,Which Spring annotation secures methods or classes?,@PreAuthorize|@Service|@Controller|@Repository,0,SpringBoot,The correct answer is @PreAuthorize because it directly matches the concept asked in this question.
29,Which SQL statement retrieves rows from a table?,SELECT|INSERT|UPDATE|DELETE,0,FullStack,The correct answer is SELECT because it directly matches the concept asked in this question.
30,What is the purpose of a reverse proxy in front of an app?,Load balancing and routing|Translating SQL queries|Compiling source code|Minifying assets,0,FullStack,The correct answer is Load balancing and routing because it directly matches the concept asked in this question.
31,"In React, which attribute helps identify list items for efficient re-rendering?",key|id|ref|index,0,React,The correct answer is key because it directly matches the concept asked in this question.
32,Which Angular lifecycle hook runs after component initialization?,ngOnInit|ngAfterViewInit|constructor|ngDoCheck,0,Angular,The correct answer is ngOnInit because it directly matches the concept asked in this question.
33,Which Spring annotation maps a class to a REST controller?,@RestController|@Controller|@Service|@Component,0,SpringBoot,The correct answer is @RestController because it directly matches the concept asked in this question.
34,Which package manager is typically used with Angular projects?,npm|pip|gem|composer,0,Angular,The correct answer is npm because it directly matches the concept asked in this question.
35,"In full-stack development, what does SPA stand for?",Single Page Application|Server Page Application|Simple Page App|Secure Page Access,0,FullStack,The correct answer is Single Page Application because it directly matches the concept asked in this question.
36,Which React feature allows avoiding prop drilling by providing global data?,Context API|Redux-only|Local storage|Refs,0,React,The correct answer is Context API because it directly matches the concept asked in this question.
37,Which HTTP method is idempotent?,PUT|POST|PATCH|CONNECT,0,FullStack,The correct answer is PUT because it directly matches the concept asked in this question.
38,Which Angular directive is used to loop over collections?,*ngFor|*ngIf|[ngStyle]|(click),0,Angular,The correct answer is *ngFor because it directly matches the concept asked in this question.
39,Which Spring component scans for annotated classes during startup?,Component scanning|AutoConfiguration|BeanFactory|ApplicationContext only,0,SpringBoot,The correct answer is Component scanning because it directly matches the concept asked in this question.
40,What does REST stand for in web services?,Representational State Transfer|Remote Execution Service Transfer|Resource State Transfer|ReSTful Service Type,0,FullStack,The correct answer is Representational State Transfer because it directly matches the concept asked in this question.
41,Which tool bundles JavaScript modules for browser use?,Webpack|Maven|Gradle|Gulp (note: bundlers vary),0,FullStack,The correct answer is Webpack because it directly matches the concept asked in this question.
