id,text,choices,correctIndex
1,"What is the Spring Boot annotation to mark the main application class?","@SpringBootApplication|@EnableAutoConfiguration|@Configuration|@Component",0
2,"Which dependency is typically used for building REST APIs in Spring Boot?","spring-boot-starter-web|spring-boot-starter-data-jpa|spring-boot-starter-security|spring-boot-starter-thymeleaf",0
3,"In Spring, which annotation is used for constructor-based dependency injection?","@Autowired|@Inject|@Value|None of the above",0
4,"Which file defines Spring profiles and properties for different environments?","application.properties|pom.xml|build.gradle|Dockerfile",0
5,"Which Spring module provides integration with relational databases using repositories?","Spring Data JPA|Spring MVC|Spring Security|Spring Batch",0
6,"In Spring Data JPA, which annotation marks the primary key of an entity?","@Id|@Primary|@Key|@EntityId",0
7,"What is the default port for a Spring Boot application?","8080|3000|8000|5000",0
8,"Which annotation maps an HTTP GET request to a controller method?","@GetMapping|@RequestMapping(method=POST)|@PostMapping|@DeleteMapping",0
9,"Which Spring Boot starter adds actuator endpoints for monitoring?","spring-boot-starter-actuator|spring-boot-starter-test|spring-boot-starter-web|spring-boot-starter-mail",0
10,"What does CORS stand for in web development?","Cross-Origin Resource Sharing|Cross-Origin Request Service|Client-Origin Resource Sharing|Cross-Object Resource Service",0
11,"In Angular, which file defines a component's metadata?","component.ts|index.html|styles.css|main.ts",0
12,"Which decorator defines an Angular component?","@Component|@NgModule|@Injectable|@Directive",0
13,"In Angular templates, which binding is used for property binding?","[property]=| (event)=|{{ interpolation }}|*ngIf=",0
14,"Which Angular feature is used for conditional rendering?","*ngIf|*ngFor|[hidden]|ngModel",0
15,"Which Angular CLI command generates a new component?","ng generate component my-comp|npm create component my-comp|ng new component my-comp|ng add component my-comp",0
16,"In React, what hook is used to manage local state in a functional component?","useState|useEffect|useContext|useReducer",0
17,"Which method did class components use for lifecycle after mounting?","componentDidMount|useEffect|useLayoutEffect|renderComplete",0
18,"What does JSX stand for?","JavaScript XML|JavaScript eXtended|JSON Styled eXtension|JavaScript eXtensible XML",0
19,"In React, which prop is used to pass data to child components?","props|state|context|key",0
20,"Which command creates a new React app using Create React App?","npx create-react-app my-app|npm init react-app my-app|yarn new react-app my-app|npm create-react-app my-app",0
21,"Which HTTP status code indicates a successful GET request?","200|201|400|500",0
22,"Which database is a relational DB?","PostgreSQL|MongoDB|Redis|Cassandra",0
23,"Which header is used to send a JWT token for authentication?","Authorization|X-CSRF-Token|Content-Type|Accept",0
24,"Which Dockerfile instruction sets the base image?","FROM|RUN|CMD|ENTRYPOINT",0
25,"Which tool is commonly used for continuous integration?","Jenkins|Webpack|ESLint|Prettier",0
26,"In Angular, which service pattern provides HTTP calls?","HttpClient|HttpService|AjaxService|FetchService",0
27,"Which React hook runs after every render by default?","useEffect|useMemo|useCallback|useRef",0
28,"Which Spring annotation secures methods or classes?","@PreAuthorize|@Service|@Controller|@Repository",0
29,"Which SQL statement retrieves rows from a table?","SELECT|INSERT|UPDATE|DELETE",0
30,"What is the purpose of a reverse proxy in front of an app?","Load balancing and routing|Translating SQL queries|Compiling source code|Minifying assets",0
31,"In React, which attribute helps identify list items for efficient re-rendering?","key|id|ref|index",0
32,"Which Angular lifecycle hook runs after component initialization?","ngOnInit|ngAfterViewInit|constructor|ngDoCheck",0
33,"Which Spring annotation maps a class to a REST controller?","@RestController|@Controller|@Service|@Component",0
34,"Which package manager is typically used with Angular projects?","npm|pip|gem|composer",0
35,"In full-stack development, what does SPA stand for?","Single Page Application|Server Page Application|Simple Page App|Secure Page Access",0
36,"Which React feature allows avoiding prop drilling by providing global data?","Context API|Redux-only|Local storage|Refs",0
37,"Which HTTP method is idempotent?","PUT|POST|PATCH|CONNECT",0
38,"Which Angular directive is used to loop over collections?","*ngFor|*ngIf|[ngStyle]|(click)",0
39,"Which Spring component scans for annotated classes during startup?","Component scanning|AutoConfiguration|BeanFactory|ApplicationContext only",0
40,"What does REST stand for in web services?","Representational State Transfer|Remote Execution Service Transfer|Resource State Transfer|ReSTful Service Type",0
41,"Which tool bundles JavaScript modules for browser use?","Webpack|Maven|Gradle|Gulp (note: bundlers vary)",0
42,"Which database type is document-oriented?","MongoDB|MySQL|PostgreSQL|OracleDB",0
43,"Which HTTP status indicates resource created?","201|200|404|500",0
44,"Which Angular concept groups related components and services?","NgModule|ComponentGroup|ServicePackage|DirectiveModule",0
45,"In Spring Boot, which file enables configuring logging levels?","application.properties|pom.xml|README.md|Dockerfile",0
46,"Which React hook memoizes a value?","useMemo|useCallback|useState|useRef",0
47,"Which authentication method uses username/password plus a token?","JWT with credentials|Basic auth only|API key only|Digest auth only",0
48,"Which CSS methodology scopes styles to components in React?","CSS Modules|Global CSS|Inline styles only|SASS only",0
49,"Which command builds an Angular project for production?","ng build --prod|npm run build:prod|ng serve --prod|npm build --prod",0
50,"Which layer typically handles business logic in a full-stack app?","Backend|Frontend|Database|Reverse proxy",0
